Gene	Antibody Count
ZNF76	7
SLC9A3R2	1
NTHL1	6
UHRF1BP1	0
GNAI3	2
IPO5	12
OAT	0
WDR3	0
PKN2	16
WDR18	0
TRAM2	1
NTN1	2
GLP2R	10
MCM10	0
DGKA	10
ERBB3	131
ROPN1	10
ANKRD44	1
KARS	5
ADAT1	1
PDIA5	9
TBC1D22B	0
NDUFB4	1
SPEN	0
MYLK	13
ZC3H15	0
MAP2K4	40
TMEM206	0
SNAP91	4
SLK	110
CYB5R4	9
COL17A1	3
GSTO2	10
SEC61A2	1
PRKCQ	8
TLE2	1
ASB1	1
FAM107B	1
ME1	18
TBC1D1	0
CDK13	13
MTHFD2	11
SLC9A7	0
FOXJ2	3
YBX1	28
PDE4A	14
PPP2R5A	1
CTNNA2	4
ELAVL1	23
TIE1	46
DIP2B	0
SMARCD1	3
KDM4A	9
NFYC	10
ZMYND12	0
SLC9A3	4
NGEF	1
ASPM	1
CD84	55
ELOVL1	0
SPI1	15
ZNRD1	8
MPPED2	7
CLDN18	1
ZBTB11	0
ATXN3	3
GOLGA5	11
FGFR2	40
LRRC40	0
ISOC1	1
EML1	9
TRMT11	0
THUMPD1	11
MSANTD3	1
KIF26A	9
ATG2B	0
ARFGEF1	1
ACSM2B	0
ZFAT	0
MTFR1	0
STAG3	0
FECH	0
MYO9A	2
DDX3Y	9
PFKP	12
IDI1	9
SP100	8
KLF6	14
PLPP1	0
NEO1	1
TRAM1	0
PHKA1	0
TNFRSF1A	105
CACNB1	10
EVI5	0
STOML1	0
PKM	19
DHX29	8
DNTTIP2	0
METTL22	0
TP53BP1	15
TRO	4
RRP15	0
RHOA	64
DHX8	11
PRKCZ	14
ZFY	0
IARS2	0
SYT1	71
NAV3	0
IDH3G	4
ROGDI	0
PDZD4	0
ATP2B3	0
ROCK1	34
CBFB	10
PDK3	12
HYAL2	0
HDAC4	33
RASSF1	11
FGFR3	10
IFI35	20
HEATR6	9
COASY	1119
PLEKHH3	3
MEF2A	51
OTUD5	2
TFE3	3
TBC1D25	1
ACSL4	2
INPP5A	6
GPKOW	0
GRIPAP1	5
FTSJ1	0
PRR11	6
REEP1	0
ATP11A	0
POLR1A	29
LAPTM4A	0
TTC7A	0
IP6K2	7
STON1-GTF2A1L	0
SRBD1	0
KIF2A	27
RASGRP2	8
PSME4	2
IFT80	0
SIRT2	20
ERLEC1	1
PPP2R5B	0
PYGM	11
PAGE1	7
PITX1	12
TRPC7	2
MAST4	0
ADGRF5	0
SDK2	0
ADAM7	1
NUP133	11
NUCKS1	949
VPS35	12
DNAJA2	21
BCL3	9
KCNAB2	1
ABCC9	0
GAL	81
CLEC2D	11
FUNDC1	0
MAOB	1
RORA	9
DRD4	1
TGFBR3	5
PLA2G10	3
HES2	29
ATP1B3	28
NEDD4	3
PIGB	4
MAPK6	28
GNB5	5
RAB27A	18
HDHD5	0
UFD1	0
LRP6	18
GUCY2C	61
SCT	0
PHRF1	0
ELP1	57
NUCB2	0
PFN2	13
PTPN3	0
SPTB	10
DAPP1	3
FGF10	6
SLC44A1	17
TMEM260	0
SMG6	0
EXOC5	0
CLTCL1	1
FGF22	2
FSTL3	2
DGCR2	2
RNF126	8
MNT	7
ZXDC	0
JMJD6	6
POLB	50
ST6GALNAC1	0
WIPI1	14
FRMPD1	0
GBA2	0
NDST1	11
ASNS	28
AP3M2	4
CNGB1	0
ST6GALNAC2	0
CHAT	20
PABPC1	10
TESK2	27
CFAP20	0
CSNK2A2	9
PTPN21	0
EIF2B3	11
CAMK2A	32
TCOF1	7
CDC42	14
OSBPL3	0
EPHA8	1
SLC12A3	0
RAD18	25
ATP2B1	9
TRPM5	1
NCK2	2
MAP4K4	29
MGAT4A	12
RPL31	0
WDR1	2
SNX13	0
MS4A12	11
ARHGAP10	0
RPS6KA2	19
ING3	10
VASH1	3
LMCD1	7
BUD23	0
SEL1L	1
TRIP13	13
ATP6AP1	10
TCF3	24
TRIB2	13
DAZAP1	6
MBD3	26
PRLH	0
HLTF	5
FAM50A	12
FAM3A	3
CPSF1	2
MYO3B	1
CYBRD1	0
CDH19	2
PDCD2	0
SLC6A15	0
RDH11	11
PRKACA	27
ADGRL1	0
SPP2	1
ACTN1	25
ZFYVE26	0
RPS6KA6	49
EPN2	10
PTPN18	4
LIMS2	0
ASIC4	0
SPEG	15
LNX1	7
ALDH3A2	11
TFRC	291
SREBF1	39
TRPC5	10
AFF4	9
UBE2D1	10
MPP5	8
RHOBTB1	1
SMC1A	46
HSD17B10	20
MARK2	12
HMMR	4
CHFR	14
TRHDE	0
P4HA2	2
FCGR2B	85
NFATC3	12
TRNT1	1
ACADVL	11
STK10	0
FBXW11	4
ACAP1	1
CRMP1	7
EVC	1
DERL2	0
SIDT1	0
NDE1	13
MRVI1	0
TMEM38A	0
AP1M1	0
PVR	65
XRCC1	57
SCARB1	164
CYP2W1	1
MCM2	68
MOV10L1	1
PANX2	1
SELENOO	0
TP63	182
ALPK1	2
LLGL2	8
PDE8A	3
CLCN4	1
NLE1	0
SDHA	13
SMARCE1	7
FNDC8	4
GSDMB	11
KDM5A	15
ADAM11	20
PPP2R3A	1
FERMT2	5
ABCB11	7
DHRS9	2
CD5L	10
PTGS2	114
IGF2BP2	18
MAP3K13	3
ST6GAL1	24
TBX21	21
FRY	0
PICALM	3
NSF	26
GLI2	4
CLASP1	6
MRPS34	8
NOTCH3	13
CLNS1A	7
PPP2R2C	9
TEAD2	8
EED	6
CDHR2	0
SNCB	22
TSG101	28
NCBP3	0
ATP2A3	13
CA12	23
MGLL	30
NTN4	5
BCS1L	8
NUAK1	1
DPP8	2
SLC24A1	0
ZNF532	0
SCARF1	2
LMAN1	16
HACD3	0
IPCEF1	1
ZZEF1	0
NOX3	1
ENO1	29
SLC12A1	4
MYDGF	0
ANO8	0
TUBE1	4
ARHGEF10L	0
TXK	13
WSCD2	0
KCNQ2	4
TACR2	2
ACTR6	0
TIPIN	13
SRI	10
EIF4G3	17
NUP37	7
SEMA3A	8
GTSE1	2
SEMA3C	0
TTC38	1
ACAT1	40
GRAMD4	1
CELSR1	0
WNT8B	2
ZNF638	0
SLC25A40	0
TIMM21	1
ADD2	1
FGF4	10
RASAL2	0
VPS9D1	1
ZNF37A	11
MARK3	19
SLC25A3	23
FNDC3B	0
FOSL2	20
CACNG5	0
CACNG4	0
FRYL	0
TMEM131	0
FSCN1	57
ACTB	70
MOCOS	2
PLD1	14
ATP12A	4
WDR62	0
DLG1	10
RAB7A	5
BCAP29	10
SEC31B	0
SART3	0
ARHGAP15	0
TUBA3D	3
PAX2	20
EXOSC7	20
KIFAP3	6
MKRN2	9
MCM6	4
REXO2	36
RBM7	1
RBMS2	16
BAZ2A	0
PTPN23	0
MLH1	58
UNG	32
FMO4	1
KLHL20	0
RGS11	1
SLC46A1	1
PLXNA2	9
SPAG5	10
ANKRD13A	0
TPD52	15
ACACB	1
TRAF4	20
PAG1	66
GPATCH1	1
ICAM3	130
NT5C2	11
MCAM	105
GPC4	4
MBNL3	1
CAMSAP3	0
RAP1GAP	28
XAB2	11
ARHGEF1	18793
STXBP2	1
MAP2K7	49
NMRK2	0
DGKD	0
CTTNBP2	0
ACTL6B	3
RARB	50
TOP2B	3
TM9SF3	0
NFKB2	10
UBE2T	13
PPP1R12B	3
DNAJC10	11
GTF3C1	0
IL4R	27
USP33	11
PAK3	45
CAPN6	1
DCX	28
SNRPA	17
SPAG6	10
EXOSC5	7
DYNC1I2	1
APBB1IP	3
LRCH4	6
FAM76B	0
SIRT6	6
TYR	832
POLD3	11
ACTN2	12
CAPZB	12
GPR137B	0
NAALAD2	1
JADE1	1
SLC25A43	1
UBE2A	14
FGFR1	111
FKBP6	15
SMC1B	8
FBLN1	13
ITGA8	5
CST7	0
MAP2	56
PIAS2	9
AMPH	35
ARAF	27
MCCC1	7
LAMP3	6
FAP	19
NEBL	0
ACER3	0
UBE2K	31
PIK3C3	2
N4BP2	7
TIGAR	6
TULP3	7
SYNJ2	7
ADCY2	5
PPP2R5C	6
RBFOX1	7
GNB1	0
HOXA9	9
EDN1	48
MLLT10	28
ZCWPW1	0
ADCYAP1R1	8
FGF20	1
P2RY10	1
ITM2A	0
NRDC	0
VDAC3	1
PCM1	27
TNRC6C	1
CBFA2T2	80
BRINP1	2
ITCH	9
PKD2L2	1
TP53INP2	3
SDF4	2
MYH7B	0
BPIFB2	1
TP73	116
TOLLIP	28
UBE2D4	5
CLUL1	0
RUNX1T1	11
CDH17	86
THOC1	18
FKBP7	0
OSBPL6	0
SLC1A3	12
XRCC5	135
LXN	27
SP140	1
MKNK1	48
TNS1	0
REXO1	7
SAR1A	5
CDC14A	19
RAPGEF3	3
CEACAM1	41
SENP1	4
DUSP13	0
CIC	0
LIPE	4
FDFT1	160
PAFAH1B3	21
OPHN1	8
AFM	1
KIF22	15
SCGN	13
CARMIL1	0
PGM1	12
DDX1	8
DNM2	18
EPB41L2	0
RIMS1	0
MOXD1	1
STX7	1
RABL2B	7
KEAP1	11
DDX43	4
PTPRH	0
DCT	4
SLC35C2	0
CRYBG3	0
EPHA6	8
SCTR	2
RFX3	2
RIF1	1
RAB21	21
SLC4A4	8
SMARCA2	8
RDH8	2
SESN1	0
MID2	0
PIH1D3	0
COL5A3	4
SRCAP	0
PUM3	0
CPB2	104
CHRNA3	343
KCNN2	0
CNOT4	15
PSEN1	67
CPOX	34
CLDND1	0
MOK	16
HSP90AA1	39
RBL1	12
DLGAP4	1
IGSF9B	0
CFHR2	2
NDC80	26
AP4E1	0
RSBN1	0
MAGI3	2
CXCL2	2
AFP	289
COL4A4	0
TCF7	24
OSTM1	3
CDH7	0
IMPG2	0
PCNP	6
EXD2	1
ARG2	7
MEF2C	21
PTPRC	420
CACNA1S	11
PKP1	9
UBA5	1
STK17B	11
CDC14B	0
ZNF510	0
LRP2	6
ZNF506	0
JMJD4	0
DUSP12	2
AACS	3
KIAA0141	0
SLC13A1	0
CADPS2	0
PCDHB4	0
PCDHA6	9
PCDHGA2	10
HSPB11	1
PHLPP1	1
ATP8B1	2
IL12RB2	3
SMARCD3	15
WDR70	0
FYB1	12
MPP4	0
STRADB	2
BZW1	0
PGR	447
C1QTNF3	0
ME2	2
C5orf22	0
CCNT2	7
FAM135A	0
COL19A1	0
EPB41L3	13
COBLL1	0
DLG3	9
KCNK2	0
SERTAD4	0
TRAF5	22
MRPL22	0
GEMIN5	0
OPRK1	3
NFE2L1	19
SEMA5B	0
GSK3B	66
ITGB5	11
ERC1	6
XPO1	7
RNF13	1
TRPM3	0
PALB2	0
DOPEY1	0
LYRM2	0
BCKDHB	0
KAT6A	0
ZCCHC6	0
ULK2	36
GRHL2	1
TNPO1	27
PLOD1	11
P2RX5	7
ITGAE	78
DIS3	1
PIBF1	9
TDRD3	0
NUFIP1	4
PDS5B	8
OXCT1	0
RRAGB	5
EPYC	1
CYLD	21
SLC27A5	7
ZNF324	0
ZNF671	0
ZNF416	0
ZNF586	0
ZNF446	0
ZNF264	0
RPS5	12
FAT1	37
YTHDC1	1
CHMP2B	12
SMAP2	41
PPIE	9
ZMPSTE24	0
STARD7	0
NOA1	0
REST	7
HAL	26
SSH1	1
GSTP1	37
APLP2	6
FAM234B	0
SLCO1A2	0
WBP11	0
EIF3I	1
NKAIN1	0
COL16A1	1
TXLNA	1
APOB	47
NCOA1	36
AGBL5	0
EFR3B	0
KIF3C	0
RAB10	5
GCKR	6
HADHA	16
MAPRE3	28
CAD	18
CD59	149
CD82	71
BCORL1	0
ATRX	33
AK6	2
FCN1	23
MYNN	13
MECOM	14
SCAMP1	2
PREP	16
HACE1	5
SEH1L	0
WDR47	1
WDFY1	0
OVGP1	0
SLC25A24	1
MAP3K4	38
PILRA	8
IGSF9	1
ABCB1	109
ZNF213	14
AKR1B1	78
CPNE3	1
RRN3	3
CTTN	13
WNT11	0
MTIF2	0
